year,species,species_latin,how_many_counted,total_hours
2012,"Short-tailed Hawk",Buteo brachyurus,NA,69.5
2013,"Short-tailed Hawk",Buteo brachyurus,NA,45
2014,"Short-tailed Hawk",Buteo brachyurus,1,66.5
2015,"Short-tailed Hawk",Buteo brachyurus,1,80.5
2016,"Short-tailed Hawk",Buteo brachyurus,1,61.35
2017,"Short-tailed Hawk",Buteo brachyurus,5,87
2018,"Short-tailed Hawk",Buteo brachyurus,2,89.5
2019,"Short-tailed Hawk",Buteo brachyurus,NA,62
2010,"Swainson's Hawk",Buteo swainsoni,1,53
2011,"Swainson's Hawk",Buteo swainsoni,NA,52
2012,"Swainson's Hawk",Buteo swainsoni,NA,69.5
2013,"Swainson's Hawk",Buteo swainsoni,NA,45
2014,"Swainson's Hawk",Buteo swainsoni,NA,66.5
2015,"Swainson's Hawk",Buteo swainsoni,NA,80.5
2016,"Swainson's Hawk",Buteo swainsoni,NA,61.35
2017,"Swainson's Hawk",Buteo swainsoni,NA,87
2018,"Swainson's Hawk",Buteo swainsoni,NA,89.5
2019,"Swainson's Hawk",Buteo swainsoni,NA,62
2010,"Zone-tailed Hawk",Buteo albonotatus,NA,53
2011,"Zone-tailed Hawk",Buteo albonotatus,NA,52
2012,"Zone-tailed Hawk",Buteo albonotatus,NA,69.5
2013,"Zone-tailed Hawk",Buteo albonotatus,NA,45
2014,"Zone-tailed Hawk",Buteo albonotatus,1,66.5
2015,"Zone-tailed Hawk",Buteo albonotatus,NA,80.5
2016,"Zone-tailed Hawk",Buteo albonotatus,NA,61.35
2017,"Zone-tailed Hawk",Buteo albonotatus,1,87
2018,"Zone-tailed Hawk",Buteo albonotatus,1,89.5
2019,"Zone-tailed Hawk",Buteo albonotatus,NA,62
2010,"Sunbittern",Eurypyga helias,1,53
2011,"Sunbittern",Eurypyga helias,NA,52
2012,"Sunbittern",Eurypyga helias,NA,69.5
2013,"Sunbittern",Eurypyga helias,NA,45
2014,"Sunbittern",Eurypyga helias,NA,66.5
2015,"Sunbittern",Eurypyga helias,NA,80.5
2016,"Sunbittern",Eurypyga helias,NA,61.35
2017,"Sunbittern",Eurypyga helias,NA,87
2018,"Sunbittern",Eurypyga helias,NA,89.5
2019,"Sunbittern",Eurypyga helias,1,62
2010,"White-throated Crake",Laterallus albigularis,NA,53
2011,"White-throated Crake",Laterallus albigularis,1,52
2012,"White-throated Crake",Laterallus albigularis,4,69.5
2013,"White-throated Crake",Laterallus albigularis,4,45
2014,"White-throated Crake",Laterallus albigularis,6,66.5
2015,"White-throated Crake",Laterallus albigularis,5,80.5
2016,"White-throated Crake",Laterallus albigularis,3,61.35
2017,"White-throated Crake",Laterallus albigularis,7,87
2018,"White-throated Crake",Laterallus albigularis,4,89.5
2019,"White-throated Crake",Laterallus albigularis,5,62
2010,"Gray-necked Wood-Rail",Aramides cajaneus,NA,53
2011,"Gray-necked Wood-Rail",Aramides cajaneus,NA,52
2012,"Gray-necked Wood-Rail",Aramides cajaneus,1,69.5
2013,"Gray-necked Wood-Rail",Aramides cajaneus,1,45
2014,"Gray-necked Wood-Rail",Aramides cajaneus,NA,66.5
2015,"Gray-necked Wood-Rail",Aramides cajaneus,1,80.5
2016,"Gray-necked Wood-Rail",Aramides cajaneus,NA,61.35
2017,"Gray-necked Wood-Rail",Aramides cajaneus,NA,87
2018,"Gray-necked Wood-Rail",Aramides cajaneus,NA,89.5
2019,"Gray-necked Wood-Rail",Aramides cajaneus,1,62
2010,"Sora",Porzana carolina,1,53
2011,"Sora",Porzana carolina,3,52
2012,"Sora",Porzana carolina,NA,69.5
2013,"Sora",Porzana carolina,NA,45
2014,"Sora",Porzana carolina,NA,66.5
2015,"Sora",Porzana carolina,NA,80.5
2016,"Sora",Porzana carolina,NA,61.35
2017,"Sora",Porzana carolina,NA,87
2018,"Sora",Porzana carolina,NA,89.5
2019,"Sora",Porzana carolina,NA,62
2010,"Purple Gallinule",Porphyrio martinicus,1,53
2011,"Purple Gallinule",Porphyrio martinicus,NA,52
2012,"Purple Gallinule",Porphyrio martinicus,NA,69.5
2013,"Purple Gallinule",Porphyrio martinicus,NA,45
2014,"Purple Gallinule",Porphyrio martinicus,NA,66.5
2015,"Purple Gallinule",Porphyrio martinicus,1,80.5
2016,"Purple Gallinule",Porphyrio martinicus,NA,61.35
2017,"Purple Gallinule",Porphyrio martinicus,NA,87
2018,"Purple Gallinule",Porphyrio martinicus,NA,89.5
2019,"Purple Gallinule",Porphyrio martinicus,NA,62
2010,"Double-striped Thick-knee",Burhinus bistriatus,NA,53
2011,"Double-striped Thick-knee",Burhinus bistriatus,NA,52
2012,"Double-striped Thick-knee",Burhinus bistriatus,NA,69.5
2013,"Double-striped Thick-knee",Burhinus bistriatus,NA,45
2014,"Double-striped Thick-knee",Burhinus bistriatus,NA,66.5
2015,"Double-striped Thick-knee",Burhinus bistriatus,1,80.5
2016,"Double-striped Thick-knee",Burhinus bistriatus,NA,61.35
2017,"Double-striped Thick-knee",Burhinus bistriatus,NA,87
2018,"Double-striped Thick-knee",Burhinus bistriatus,NA,89.5
2019,"Double-striped Thick-knee",Burhinus bistriatus,NA,62
2010,"Southern Lapwing",Vanellus chilensis,NA,53
2011,"Southern Lapwing",Vanellus chilensis,NA,52
2012,"Southern Lapwing",Vanellus chilensis,NA,69.5
2013,"Southern Lapwing",Vanellus chilensis,NA,45
2014,"Southern Lapwing",Vanellus chilensis,NA,66.5
2015,"Southern Lapwing",Vanellus chilensis,NA,80.5
2016,"Southern Lapwing",Vanellus chilensis,NA,61.35
2017,"Southern Lapwing",Vanellus chilensis,NA,87
2018,"Southern Lapwing",Vanellus chilensis,2,89.5
2019,"Southern Lapwing",Vanellus chilensis,4,62
2010,"Killdeer",Charadrius vociferus,NA,53
2011,"Killdeer",Charadrius vociferus,NA,52
2012,"Killdeer",Charadrius vociferus,2,69.5
2013,"Killdeer",Charadrius vociferus,NA,45
2014,"Killdeer",Charadrius vociferus,NA,66.5
2015,"Killdeer",Charadrius vociferus,1,80.5
2016,"Killdeer",Charadrius vociferus,NA,61.35
2017,"Killdeer",Charadrius vociferus,NA,87
2018,"Killdeer",Charadrius vociferus,NA,89.5
2019,"Killdeer",Charadrius vociferus,NA,62
2010,"Northern Jacana",Jacana spinosa,29,53
2011,"Northern Jacana",Jacana spinosa,7,52
2012,"Northern Jacana",Jacana spinosa,NA,69.5
2013,"Northern Jacana",Jacana spinosa,9,45
2014,"Northern Jacana",Jacana spinosa,12,66.5
2015,"Northern Jacana",Jacana spinosa,3,80.5
2016,"Northern Jacana",Jacana spinosa,4,61.35
2017,"Northern Jacana",Jacana spinosa,8,87
2018,"Northern Jacana",Jacana spinosa,11,89.5
2019,"Northern Jacana",Jacana spinosa,6,62
2010,"Spotted Sandpiper",Actitis macularius,NA,53
2011,"Spotted Sandpiper",Actitis macularius,NA,52
2012,"Spotted Sandpiper",Actitis macularius,NA,69.5
2013,"Spotted Sandpiper",Actitis macularius,NA,45
2014,"Spotted Sandpiper",Actitis macularius,1,66.5
2015,"Spotted Sandpiper",Actitis macularius,NA,80.5
2016,"Spotted Sandpiper",Actitis macularius,NA,61.35
2017,"Spotted Sandpiper",Actitis macularius,NA,87
2018,"Spotted Sandpiper",Actitis macularius,4,89.5
2019,"Spotted Sandpiper",Actitis macularius,NA,62
2010,"Pale-vented Pigeon",Patagioenas cayennensis,NA,53
2011,"Pale-vented Pigeon",Patagioenas cayennensis,NA,52
2012,"Pale-vented Pigeon",Patagioenas cayennensis,2,69.5
2013,"Pale-vented Pigeon",Patagioenas cayennensis,NA,45
2014,"Pale-vented Pigeon",Patagioenas cayennensis,NA,66.5
2015,"Pale-vented Pigeon",Patagioenas cayennensis,NA,80.5
2016,"Pale-vented Pigeon",Patagioenas cayennensis,NA,61.35
2017,"Pale-vented Pigeon",Patagioenas cayennensis,NA,87
2018,"Pale-vented Pigeon",Patagioenas cayennensis,NA,89.5
2019,"Pale-vented Pigeon",Patagioenas cayennensis,NA,62
2010,"Scaled Pigeon",Patagioenas speciosa,NA,53
2011,"Scaled Pigeon",Patagioenas speciosa,NA,52
2012,"Scaled Pigeon",Patagioenas speciosa,NA,69.5
2013,"Scaled Pigeon",Patagioenas speciosa,1,45
2014,"Scaled Pigeon",Patagioenas speciosa,NA,66.5
2015,"Scaled Pigeon",Patagioenas speciosa,NA,80.5
2016,"Scaled Pigeon",Patagioenas speciosa,NA,61.35
2017,"Scaled Pigeon",Patagioenas speciosa,NA,87
2018,"Scaled Pigeon",Patagioenas speciosa,NA,89.5
2019,"Scaled Pigeon",Patagioenas speciosa,NA,62
2010,"Red-billed Pigeon",Patagioenas flavirostris,1,53
2011,"Red-billed Pigeon",Patagioenas flavirostris,1,52
2012,"Red-billed Pigeon",Patagioenas flavirostris,1,69.5
2013,"Red-billed Pigeon",Patagioenas flavirostris,1,45
2014,"Red-billed Pigeon",Patagioenas flavirostris,13,66.5
2015,"Red-billed Pigeon",Patagioenas flavirostris,5,80.5
2016,"Red-billed Pigeon",Patagioenas flavirostris,NA,61.35
2017,"Red-billed Pigeon",Patagioenas flavirostris,3,87
2018,"Red-billed Pigeon",Patagioenas flavirostris,2,89.5
2019,"Red-billed Pigeon",Patagioenas flavirostris,5,62
2010,"Band-tailed Pigeon",Patagioenas fasciata,NA,53
2011,"Band-tailed Pigeon",Patagioenas fasciata,1,52
2012,"Band-tailed Pigeon",Patagioenas fasciata,NA,69.5
2013,"Band-tailed Pigeon",Patagioenas fasciata,4,45
2014,"Band-tailed Pigeon",Patagioenas fasciata,NA,66.5
2015,"Band-tailed Pigeon",Patagioenas fasciata,NA,80.5
2016,"Band-tailed Pigeon",Patagioenas fasciata,NA,61.35
2017,"Band-tailed Pigeon",Patagioenas fasciata,NA,87
2018,"Band-tailed Pigeon",Patagioenas fasciata,NA,89.5
2019,"Band-tailed Pigeon",Patagioenas fasciata,NA,62
2010,"Short-billed Pigeon",Patagioenas nigrirostris,NA,53
2011,"Short-billed Pigeon",Patagioenas nigrirostris,NA,52
2012,"Short-billed Pigeon",Patagioenas nigrirostris,1,69.5
2013,"Short-billed Pigeon",Patagioenas nigrirostris,NA,45
2014,"Short-billed Pigeon",Patagioenas nigrirostris,3,66.5
2015,"Short-billed Pigeon",Patagioenas nigrirostris,NA,80.5
2016,"Short-billed Pigeon",Patagioenas nigrirostris,NA,61.35
2017,"Short-billed Pigeon",Patagioenas nigrirostris,NA,87
2018,"Short-billed Pigeon",Patagioenas nigrirostris,NA,89.5
2019,"Short-billed Pigeon",Patagioenas nigrirostris,1,62
2010,"Inca Dove",Columbina inca,2,53
2011,"Inca Dove",Columbina inca,5,52
2012,"Inca Dove",Columbina inca,NA,69.5
2013,"Inca Dove",Columbina inca,NA,45
2014,"Inca Dove",Columbina inca,NA,66.5
2015,"Inca Dove",Columbina inca,8,80.5
2016,"Inca Dove",Columbina inca,NA,61.35
2017,"Inca Dove",Columbina inca,8,87
2018,"Inca Dove",Columbina inca,2,89.5
2019,"Inca Dove",Columbina inca,1,62
2010,"Common Ground-Dove",Columbina passerina,2,53
2011,"Common Ground-Dove",Columbina passerina,NA,52
2012,"Common Ground-Dove",Columbina passerina,4,69.5
2013,"Common Ground-Dove",Columbina passerina,NA,45
2014,"Common Ground-Dove",Columbina passerina,NA,66.5
2015,"Common Ground-Dove",Columbina passerina,10,80.5
2016,"Common Ground-Dove",Columbina passerina,NA,61.35
2017,"Common Ground-Dove",Columbina passerina,NA,87
2018,"Common Ground-Dove",Columbina passerina,1,89.5
2019,"Common Ground-Dove",Columbina passerina,3,62
2010,"Plain-breasted Ground-Dove",Columbina minuta,4,53
2011,"Plain-breasted Ground-Dove",Columbina minuta,2,52
2012,"Plain-breasted Ground-Dove",Columbina minuta,2,69.5
2013,"Plain-breasted Ground-Dove",Columbina minuta,1,45
2014,"Plain-breasted Ground-Dove",Columbina minuta,4,66.5
2015,"Plain-breasted Ground-Dove",Columbina minuta,2,80.5
2016,"Plain-breasted Ground-Dove",Columbina minuta,2,61.35
2017,"Plain-breasted Ground-Dove",Columbina minuta,5,87
2018,"Plain-breasted Ground-Dove",Columbina minuta,NA,89.5
2019,"Plain-breasted Ground-Dove",Columbina minuta,1,62
2010,"Ruddy Ground-Dove",Columbina talpacoti,NA,53
2011,"Ruddy Ground-Dove",Columbina talpacoti,NA,52
2012,"Ruddy Ground-Dove",Columbina talpacoti,NA,69.5
2013,"Ruddy Ground-Dove",Columbina talpacoti,NA,45
2014,"Ruddy Ground-Dove",Columbina talpacoti,6,66.5
2015,"Ruddy Ground-Dove",Columbina talpacoti,3,80.5
2016,"Ruddy Ground-Dove",Columbina talpacoti,1,61.35
2017,"Ruddy Ground-Dove",Columbina talpacoti,22,87
2018,"Ruddy Ground-Dove",Columbina talpacoti,5,89.5
2019,"Ruddy Ground-Dove",Columbina talpacoti,1,62
2010,"Blue Ground-Dove",Claravis pretiosa,4,53
2011,"Blue Ground-Dove",Claravis pretiosa,NA,52
2012,"Blue Ground-Dove",Claravis pretiosa,NA,69.5
2013,"Blue Ground-Dove",Claravis pretiosa,NA,45
2014,"Blue Ground-Dove",Claravis pretiosa,NA,66.5
2015,"Blue Ground-Dove",Claravis pretiosa,1,80.5
2016,"Blue Ground-Dove",Claravis pretiosa,NA,61.35
2017,"Blue Ground-Dove",Claravis pretiosa,NA,87
2018,"Blue Ground-Dove",Claravis pretiosa,NA,89.5
2019,"Blue Ground-Dove",Claravis pretiosa,NA,62
2010,"Olive-backed Quail-Dove",Leptotrygon veraguensis,NA,53
2011,"Olive-backed Quail-Dove",Leptotrygon veraguensis,NA,52
2012,"Olive-backed Quail-Dove",Leptotrygon veraguensis,NA,69.5
2013,"Olive-backed Quail-Dove",Leptotrygon veraguensis,NA,45
2014,"Olive-backed Quail-Dove",Leptotrygon veraguensis,NA,66.5
2015,"Olive-backed Quail-Dove",Leptotrygon veraguensis,NA,80.5
2016,"Olive-backed Quail-Dove",Leptotrygon veraguensis,NA,61.35
2017,"Olive-backed Quail-Dove",Leptotrygon veraguensis,NA,87
2018,"Olive-backed Quail-Dove",Leptotrygon veraguensis,1,89.5
2019,"Olive-backed Quail-Dove",Leptotrygon veraguensis,NA,62
2010,"White-tipped Dove",Leptotila verreauxi,2,53
2011,"White-tipped Dove",Leptotila verreauxi,6,52
2012,"White-tipped Dove",Leptotila verreauxi,1,69.5
2013,"White-tipped Dove",Leptotila verreauxi,3,45
2014,"White-tipped Dove",Leptotila verreauxi,10,66.5
2015,"White-tipped Dove",Leptotila verreauxi,20,80.5
2016,"White-tipped Dove",Leptotila verreauxi,7,61.35
2017,"White-tipped Dove",Leptotila verreauxi,4,87
2018,"White-tipped Dove",Leptotila verreauxi,9,89.5
2019,"White-tipped Dove",Leptotila verreauxi,6,62
2010,"Gray-chested Dove",Leptotila cassinii,NA,53
2011,"Gray-chested Dove",Leptotila cassinii,NA,52
2012,"Gray-chested Dove",Leptotila cassinii,NA,69.5
2013,"Gray-chested Dove",Leptotila cassinii,NA,45
2014,"Gray-chested Dove",Leptotila cassinii,NA,66.5
2015,"Gray-chested Dove",Leptotila cassinii,NA,80.5
2016,"Gray-chested Dove",Leptotila cassinii,NA,61.35
2017,"Gray-chested Dove",Leptotila cassinii,5,87
2018,"Gray-chested Dove",Leptotila cassinii,2,89.5
2019,"Gray-chested Dove",Leptotila cassinii,NA,62
2010,"Chiriqui Quail-Dove",Zentrygon chiriquensis,NA,53
2011,"Chiriqui Quail-Dove",Zentrygon chiriquensis,NA,52
2012,"Chiriqui Quail-Dove",Zentrygon chiriquensis,NA,69.5
2013,"Chiriqui Quail-Dove",Zentrygon chiriquensis,NA,45
2014,"Chiriqui Quail-Dove",Zentrygon chiriquensis,NA,66.5
2015,"Chiriqui Quail-Dove",Zentrygon chiriquensis,NA,80.5
2016,"Chiriqui Quail-Dove",Zentrygon chiriquensis,NA,61.35
2017,"Chiriqui Quail-Dove",Zentrygon chiriquensis,2,87
2018,"Chiriqui Quail-Dove",Zentrygon chiriquensis,1,89.5
2019,"Chiriqui Quail-Dove",Zentrygon chiriquensis,1,62
2010,"White-winged Dove",Zenaida asiatica,8,53
2011,"White-winged Dove",Zenaida asiatica,16,52
2012,"White-winged Dove",Zenaida asiatica,11,69.5
2013,"White-winged Dove",Zenaida asiatica,14,45
2014,"White-winged Dove",Zenaida asiatica,33,66.5
2015,"White-winged Dove",Zenaida asiatica,13,80.5
2016,"White-winged Dove",Zenaida asiatica,15,61.35
2017,"White-winged Dove",Zenaida asiatica,52,87
2018,"White-winged Dove",Zenaida asiatica,3,89.5
2019,"White-winged Dove",Zenaida asiatica,4,62
2010,"Squirrel Cuckoo",Piaya cayana,6,53
2011,"Squirrel Cuckoo",Piaya cayana,7,52
2012,"Squirrel Cuckoo",Piaya cayana,3,69.5
2013,"Squirrel Cuckoo",Piaya cayana,5,45
2014,"Squirrel Cuckoo",Piaya cayana,4,66.5
2015,"Squirrel Cuckoo",Piaya cayana,8,80.5
2016,"Squirrel Cuckoo",Piaya cayana,5,61.35
2017,"Squirrel Cuckoo",Piaya cayana,26,87
2018,"Squirrel Cuckoo",Piaya cayana,8,89.5
2019,"Squirrel Cuckoo",Piaya cayana,10,62
2010,"Lesser Ground-Cuckoo",Morococcyx erythropygus,1,53
2011,"Lesser Ground-Cuckoo",Morococcyx erythropygus,NA,52
2012,"Lesser Ground-Cuckoo",Morococcyx erythropygus,2,69.5
2013,"Lesser Ground-Cuckoo",Morococcyx erythropygus,NA,45
2014,"Lesser Ground-Cuckoo",Morococcyx erythropygus,1,66.5
2015,"Lesser Ground-Cuckoo",Morococcyx erythropygus,NA,80.5
2016,"Lesser Ground-Cuckoo",Morococcyx erythropygus,NA,61.35
2017,"Lesser Ground-Cuckoo",Morococcyx erythropygus,1,87
2018,"Lesser Ground-Cuckoo",Morococcyx erythropygus,3,89.5
2019,"Lesser Ground-Cuckoo",Morococcyx erythropygus,9,62
2010,"Groove-billed Ani",Crotophaga sulcirostris,14,53
2011,"Groove-billed Ani",Crotophaga sulcirostris,11,52
2012,"Groove-billed Ani",Crotophaga sulcirostris,17,69.5
2013,"Groove-billed Ani",Crotophaga sulcirostris,31,45
2014,"Groove-billed Ani",Crotophaga sulcirostris,29,66.5
2015,"Groove-billed Ani",Crotophaga sulcirostris,28,80.5
2016,"Groove-billed Ani",Crotophaga sulcirostris,26,61.35
2017,"Groove-billed Ani",Crotophaga sulcirostris,43,87
2018,"Groove-billed Ani",Crotophaga sulcirostris,26,89.5
2019,"Groove-billed Ani",Crotophaga sulcirostris,30,62
2010,"Barn Owl",Tyto alba,NA,53
2011,"Barn Owl",Tyto alba,NA,52
2012,"Barn Owl",Tyto alba,NA,69.5
2013,"Barn Owl",Tyto alba,NA,45
2014,"Barn Owl",Tyto alba,NA,66.5
2015,"Barn Owl",Tyto alba,NA,80.5
2016,"Barn Owl",Tyto alba,NA,61.35
2017,"Barn Owl",Tyto alba,1,87
2018,"Barn Owl",Tyto alba,NA,89.5
2019,"Barn Owl",Tyto alba,NA,62
2010,"Vermiculated Screech-Owl",Megascops guatemalae,1,53
2011,"Vermiculated Screech-Owl",Megascops guatemalae,NA,52
2012,"Vermiculated Screech-Owl",Megascops guatemalae,NA,69.5
2013,"Vermiculated Screech-Owl",Megascops guatemalae,NA,45
2014,"Vermiculated Screech-Owl",Megascops guatemalae,NA,66.5
2015,"Vermiculated Screech-Owl",Megascops guatemalae,NA,80.5
2016,"Vermiculated Screech-Owl",Megascops guatemalae,NA,61.35
2017,"Vermiculated Screech-Owl",Megascops guatemalae,1,87
2018,"Vermiculated Screech-Owl",Megascops guatemalae,NA,89.5
2019,"Vermiculated Screech-Owl",Megascops guatemalae,NA,62
2010,"Spectacled Owl",Pulsatrix perspicillata,1,53
2011,"Spectacled Owl",Pulsatrix perspicillata,NA,52
2012,"Spectacled Owl",Pulsatrix perspicillata,NA,69.5
2013,"Spectacled Owl",Pulsatrix perspicillata,NA,45
2014,"Spectacled Owl",Pulsatrix perspicillata,NA,66.5
2015,"Spectacled Owl",Pulsatrix perspicillata,NA,80.5
2016,"Spectacled Owl",Pulsatrix perspicillata,NA,61.35
2017,"Spectacled Owl",Pulsatrix perspicillata,NA,87
2018,"Spectacled Owl",Pulsatrix perspicillata,NA,89.5
2019,"Spectacled Owl",Pulsatrix perspicillata,1,62
2010,"Black-and-white Owl",Ciccaba nigrolineata,NA,53
2011,"Black-and-white Owl",Ciccaba nigrolineata,NA,52
2012,"Black-and-white Owl",Ciccaba nigrolineata,NA,69.5
2013,"Black-and-white Owl",Ciccaba nigrolineata,NA,45
2014,"Black-and-white Owl",Ciccaba nigrolineata,NA,66.5
2015,"Black-and-white Owl",Ciccaba nigrolineata,3,80.5
2016,"Black-and-white Owl",Ciccaba nigrolineata,NA,61.35
2017,"Black-and-white Owl",Ciccaba nigrolineata,NA,87
2018,"Black-and-white Owl",Ciccaba nigrolineata,NA,89.5
2019,"Black-and-white Owl",Ciccaba nigrolineata,NA,62
2010,"Lesser Nighthawk",Chordeiles acutipennis,2,53
2011,"Lesser Nighthawk",Chordeiles acutipennis,NA,52
2012,"Lesser Nighthawk",Chordeiles acutipennis,NA,69.5
2013,"Lesser Nighthawk",Chordeiles acutipennis,NA,45
2014,"Lesser Nighthawk",Chordeiles acutipennis,NA,66.5
2015,"Lesser Nighthawk",Chordeiles acutipennis,NA,80.5
2016,"Lesser Nighthawk",Chordeiles acutipennis,NA,61.35
2017,"Lesser Nighthawk",Chordeiles acutipennis,NA,87
2018,"Lesser Nighthawk",Chordeiles acutipennis,NA,89.5
2019,"Lesser Nighthawk",Chordeiles acutipennis,NA,62
2010,"Common Pauraque",Nyctidromus albicollis,11,53
2011,"Common Pauraque",Nyctidromus albicollis,16,52
2012,"Common Pauraque",Nyctidromus albicollis,5,69.5
2013,"Common Pauraque",Nyctidromus albicollis,2,45
2014,"Common Pauraque",Nyctidromus albicollis,6,66.5
2015,"Common Pauraque",Nyctidromus albicollis,4,80.5
2016,"Common Pauraque",Nyctidromus albicollis,NA,61.35
2017,"Common Pauraque",Nyctidromus albicollis,15,87
2018,"Common Pauraque",Nyctidromus albicollis,1,89.5
2019,"Common Pauraque",Nyctidromus albicollis,20,62
2010,"Common Potoo",Nyctibius griseus,NA,53
2011,"Common Potoo",Nyctibius griseus,NA,52
2012,"Common Potoo",Nyctibius griseus,NA,69.5
2013,"Common Potoo",Nyctibius griseus,NA,45
2014,"Common Potoo",Nyctibius griseus,NA,66.5
2015,"Common Potoo",Nyctibius griseus,1,80.5
2016,"Common Potoo",Nyctibius griseus,NA,61.35
2017,"Common Potoo",Nyctibius griseus,NA,87
2018,"Common Potoo",Nyctibius griseus,NA,89.5
2019,"Common Potoo",Nyctibius griseus,NA,62
2010,"White-chinned Swift",Cypseloides cryptus,NA,53
2011,"White-chinned Swift",Cypseloides cryptus,NA,52
2012,"White-chinned Swift",Cypseloides cryptus,NA,69.5
2013,"White-chinned Swift",Cypseloides cryptus,NA,45
2014,"White-chinned Swift",Cypseloides cryptus,NA,66.5
2015,"White-chinned Swift",Cypseloides cryptus,NA,80.5
2016,"White-chinned Swift",Cypseloides cryptus,NA,61.35
2017,"White-chinned Swift",Cypseloides cryptus,25,87
2018,"White-chinned Swift",Cypseloides cryptus,NA,89.5
2019,"White-chinned Swift",Cypseloides cryptus,NA,62
2010,"White-collared Swift",Streptoprocne zonaris,6,53
2011,"White-collared Swift",Streptoprocne zonaris,15,52
2012,"White-collared Swift",Streptoprocne zonaris,1,69.5
2013,"White-collared Swift",Streptoprocne zonaris,NA,45
2014,"White-collared Swift",Streptoprocne zonaris,33,66.5
2015,"White-collared Swift",Streptoprocne zonaris,NA,80.5
2016,"White-collared Swift",Streptoprocne zonaris,200,61.35
2017,"White-collared Swift",Streptoprocne zonaris,38,87
2018,"White-collared Swift",Streptoprocne zonaris,NA,89.5
2019,"White-collared Swift",Streptoprocne zonaris,19,62
2010,"Vaux's Swift",Chaetura vauxi,NA,53
2011,"Vaux's Swift",Chaetura vauxi,NA,52
2012,"Vaux's Swift",Chaetura vauxi,NA,69.5
2013,"Vaux's Swift",Chaetura vauxi,NA,45
2014,"Vaux's Swift",Chaetura vauxi,NA,66.5
2015,"Vaux's Swift",Chaetura vauxi,NA,80.5
2016,"Vaux's Swift",Chaetura vauxi,NA,61.35
2017,"Vaux's Swift",Chaetura vauxi,4,87
